"","sciname","SpecCode","IUCN_Code","Resilience","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","LongevityWild","Vulnerability","Length","CommonLength","Weight","Importance","PriceCateg","PriceReliability","Aquarium","AquariumFishII","Comments"
"204","Cymolutes lecluse",6081,"LC","Medium","fusiform / normal","reef-associated",1,119,NA,32.87,17.8,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs over sand bottom in lagoon (Ref. 7461).  Benthic and benthopelagic (Ref. 58302).  Feeds on fishes (Ref. 7461)."
"205","Cymolutes praetextatus",5607,"LC","Medium","Elongated","reef-associated",2,10,NA,34.69,20,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"A solitary species (Ref. 90102) that inhabits reef flats and shallow lagoons, in sandy, current-swept areas with rubble and weed (Ref. 9710).  Feeds on small benthic invertebrates (Ref. 89972). Capable of diving into the sand with the approach of danger.  Rarely caught by fishers or aquarium collectors (Ref. 9823)."
"206","Cymolutes torquatus",5608,"LC","Medium","Elongated","reef-associated",2,20,NA,28.88,20,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"A solitary species (Ref. 90102) common over sandy areas of reef flats and shallow sandy lagoons to a depth of at least 6 m.  Also found in estuaries. Feeds on benthic invertebrates (Ref. 89972). Usually in current zones such as tidal channels.  Juveniles often with small outcrops of rubble and algae or around the edges of sparse seagrasses (Ref. 48636).  The species is capable of diving into sand when threatened."
"207","Decodon grandisquamis",16902,"DD","High","fusiform / normal","demersal",NA,200,NA,27.77,18.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"One known specimen."
"208","Decodon melasma",13835,"LC","Medium","fusiform / normal","reef-associated",40,160,NA,35.49,32.3,16,NA,"commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Lives over sandy bottoms with gravel and isolated reefs.  Often caught in the open sea as a by-catch of trawlers fishing for prawns and shrimps.  Each individual functions first as a female but  later changes to a male."
"209","Decodon pacificus",23521,"DD","Medium","fusiform / normal","demersal",NA,NA,NA,30.68,16,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found on the continental shelf and continental slope (Ref. 75154)."
"210","Decodon puellaris",3657,"DD","Medium","fusiform / normal","reef-associated",18,275,NA,34.51,30,22,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Mainly found over rocky bottoms of insular areas (Ref. 5217)."
"211","Diproctacanthus xanthurus",5108,"LC","High","fusiform / normal","reef-associated",2,25,NA,18.38,10,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","A solitary species (Ref. 90102) occurring in coral rich areas of shallow lagoons and sheltered seaward reefs.  Adults feed mainly on coral polyps while juveniles remove ectoparasites from small territorial fishes (Ref. 2334, 9710).  Adults swim in small groups.  Usually, only small juveniles clean other fishes (Ref. 48636)."
"212","Doratonotus megalepis",3658,"LC","High","fusiform / normal","reef-associated",1,15,NA,16.55,9.4,NA,10.8,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits shallow beds of turtle grass (<i>Thalassia</i>).  Common but seldom noticed (Ref. 9710)."
"213","Dotalabrus alleni",46818,"LC","High",NA,"reef-associated",1,15,NA,19.49,8.45,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Common on rocky reefs in shallow water (Ref. 26203)."
"214","Dotalabrus aurantiacus",46798,"LC","High",NA,"demersal",NA,NA,NA,24.65,11.05,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits rock reef (Ref. 75154)."
"215","Epibulus brevis",63878,"LC","Medium",NA,"reef-associated",3,18,NA,33.37,18.5,NA,NA,NA,NA,NA,"never/rarely",NA,"This species inhabits protected inshore waters and is a protogynous hermaphrodite.  It has been observed to spawn on several occasions in Palau at Ngerikuul (Nikko Bay) and Cemetery Reef (W side of Ngeruktabel) in the late afternoon, generally about 1600 when sunset is around 1800, and not correlated with high tide.  Courtship and spawning were found to be variable; distinct from that of <i>E. insidiator</i>.  The males do not display in such an obvious manner as <i>E. insidiator</i>, but they do swim conspicuously around a putative territory, often a short distance above the bottom, but sometimes higher in the water column, presumably to be more visible to the females. The male’s courtship posture is distinctly different from that of its congener, with caudal fin folded, and the dorsal and anal fins held closely to the body. The males swim around prospective females, displaying in a very subtle manner. The spawning rush varies, ranging from a low arch to a short and relatively slow upward movement. At the time of spawning the median fins of the male are more widely spread.  Stomach contents contain remains of crabs and shrimps, and other unidentified crustaceans (Ref. 75789).  A solitary species (Ref. 90102)."
"216","Epibulus insidiator",5606,"LC","Low","short and / or deep","reef-associated",1,42,NA,61.13,54,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabit coral-rich areas of lagoon and seaward reefs (Ref. 1602, 58302).  Benthopelagic (Ref. 58302).  Generally solitary (Ref. 5213).  Feed on small coral-dwelling crustaceans and fishes (Ref. 9710).  Capable of drift migration along with floating leaves (Ref. 27153).  Adults usually along deep slopes or drop-offs.  Sometimes they visit cleaning stations holding their mouth open and out for inspection (Ref. 48636)."
"217","Eupetrichthys angustipes",47037,"LC","High",NA,"demersal",NA,17,NA,26.28,12.4,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits rock reef (Ref. 75154)."
"218","Frontilabrus caeruleus",25371,"DD","High",NA,"reef-associated",NA,NA,NA,21.72,9.4,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","public aquariums",NA,"The specimen was reared from May 3, 1985 to July 22, 1986 in an aquarium at the Musée de Zoologie de l'Université de la Ville de Nancy."
"219","Gomphosus caeruleus",7744,"LC","Medium","fusiform / normal","reef-associated",1,35,NA,35.6,32,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","A solitary species (Ref. 90102) that inhabits coral-rich areas of lagoon and seaward reefs (Ref. 9710, 48636).  Also in rocky reefs (Ref. 30573).  Feeds on small invertebrates (Ref. 5374)."
"220","Gomphosus varius",5626,"LC","Medium","fusiform / normal","reef-associated",1,35,NA,44.13,30,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","A solitary species (Ref. 90102) found in coral-rich areas of lagoon and seaward reefs to a depth of at least 30 m (Ref. 1602, 58302).  Benthopelagic (Ref. 58302).  Feeds mainly on small benthic crustaceans, sometimes on small fishes, brittle stars, and mollusks (Ref. 2334)."
"221","Haletta semifasciata",12836,"LC","High",NA,"demersal",1,7,NA,28.81,29,NA,NA,"minor commercial","unknown",NA,NA,NA,"Forms large schools in estuaries and other sheltered waters with sand and seagrass bottoms.  Considered primarily as an opportunistic carnivore, feeding mainly on polychaetes; also gastropods, crustaceans (crab and amphipods), algae and seagrass (mostly <i>Zostera</i>) are common; forams, bivalves, and ophiuroids were also found in a few stomachs."
"222","Halichoeres adustus",13837,"VU","High","fusiform / normal","reef-associated",1,3,NA,22.52,12.5,NA,NA,"of no interest",NA,NA,"never/rarely",NA,"Generally encountered around islands, over rocky bottoms (Ref. 9311)."
"223","Halichoeres aestuaricola",13838,"DD","Medium","fusiform / normal","demersal",0,5,NA,30.16,22,NA,NA,"of no interest",NA,NA,"never/rarely",NA,"Frequently found over sand and mud bottoms of  mangroves and estuaries but occasionally found over rocky bottoms of the marine coast.  Not utilized for human consumption."
"224","Halichoeres argus",4857,"LC","High","fusiform / normal","reef-associated",1,5,NA,21.88,12,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found usually in groups (Ref. 90102) in shallow coastal reefs and seagrass flats (Ref. 9710), also in algae-rocky reef flats and lagoons (Ref. 48636)."
"225","Halichoeres bathyphilus",3659,"LC","Medium",NA,"reef-associated",27,190,NA,31.03,23,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits deep reefs (Ref. 9710).  Traded as an aquarium fish at Ceará, Brazil (Ref. 49392)."
"226","Halichoeres bicolor",53816,"LC","High","fusiform / normal","reef-associated",3,20,NA,21.88,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found solitary or in small groups (Ref. 90102) in inshore, usually silty habitat on sand or mud near shallow reefs and seagrass beds (Ref. 48636)."
"227","Halichoeres binotopsis",12789,"LC","High","fusiform / normal","reef-associated",2,8,NA,20.33,8.9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found in shallow coastal reef flat and gutters with algae and sparse coral growth.  Occurs in small loose aggregations.  Males territorial with numerous females spread over a section of reef (Ref. 48636)."
"228","Halichoeres biocellatus",5627,"LC","High","fusiform / normal","reef-associated",6,35,NA,21.88,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found in small groups (Ref. 90102) in seaward reefs to at least 35 m depth, usually in areas of mixed coral and reef rock with sand patches (Ref. 9710).  Also in reef crests and slopes on rocky or rubble-algae substrates (Ref. 48636)."
"229","Halichoeres bivittatus",3660,"LC","Medium","fusiform / normal","reef-associated",1,15,NA,36.66,35,NA,146,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Commonly found in rocky and reef areas in shallow waters.  Less common in seagrass beds.  Feeds on other fishes (Ref. 5521) and gastropods (Ref. 9626).  Forms leks during breeding (Ref. 55367).  A protogynous hermaphrodite (Ref. 55367)."
"230","Halichoeres bleekeri",59648,"DD","High","fusiform / normal","demersal",NA,NA,NA,26.05,12.2,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"231","Halichoeres brasiliensis",61031,"DD","Medium","fusiform / normal","reef-associated",0,35,NA,52.16,39.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits organic and rocky reefs (Ref. 48669).  Large individuals at depths of 10 m or more; juveniles in areas as shallow as tide pools (Ref. 48669).  Feeds on benthic invertebrates (Ref. 40849)."
"232","Halichoeres brownfieldi",59633,"LC","High","fusiform / normal","reef-associated",NA,30,NA,24.47,15,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits protected seagrass beds (Ref. 33839) and rock reef (Ref. 75154)."
"233","Halichoeres burekae",63950,"DD","High",NA,"reef-associated",NA,24,NA,16.55,7.74,NA,NA,NA,NA,NA,"never/rarely",NA,"Collected over claystone, sponge, and coral substrata.  Adults were observed in small
schools along the reef crest mixed with <i>Thalassoma bifasciatum</i>, juvenile <i>Bodianus rufus</i>, and <i>Chromis multilineata</i>, while small juveniles ((12-18 mm TL) were observed in mixed schools with juvenile <i>Clepticus parrae</i>.  It feeds mainly on calanoid copepods and other plankton.  During courtship, terminal phase males:  raise the dorsal 'flag' while approaching a female and keep the dorsal fin erect while in close proximity to her; primarily use pectoral ‘'labriform' propulsion for locomotion unless making rapid rushes at a female from a distance, in which case the caudal fin and body are used for rapid propulsion to pursue her; typically circles the female with dorsal fin flared, also periodically flaring the caudal lobes; and, were observed to nip the female on the fins.  Agonistic interactions were also  observed between males, approaching each other with flaring gill plates and jaws, and rapidly fanning their pectoral fins (Ref. 75768)."
